Ticker,Binance_Symbol,Primary_Sector,All_Sectors
1000BONK,1000BONKUSDT,Meme,"Meme, Multiplier Denominated Tokens"
1000SATS,1000SATSUSDT,BRC-20,"BRC-20, Inscriptions"
1000SHIB,1000SHIBUSDT,Multiplier Denominated Tokens,Multiplier Denominated Tokens
1INCH,1INCHUSDT,Decentralized Exchange (DEX),"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Automated Market Maker (AMM), BNB Chain Ecosystem, Ethereum Ecosystem, Base Ecosystem, GMCI DeFi Index, Dex Aggregator, GMCI Index, Coinbase 50 Index, Governance, Base Native"
AAVE,AAVEUSDT,Base Native,"Base Native, Huobi ECO Chain Ecosystem, Avalanche Ecosystem, Arbitrum Ecosystem, Stablecoin Issuer, Harmony Ecosystem, Index Coop Defi Index, Hydration Ecosystem, Coinbase 50 Index, Yield Farming, Decentralized Finance (DeFi), Polygon Ecosystem, Optimism Ecosystem, BNB Chain Ecosystem, Near Protocol Ecosystem, GMCI Index, Base Ecosystem, GMCI DeFi Index, Sora Ecosystem, Ethereum Ecosystem, Solana Ecosystem, Fantom Ecosystem, Energi Ecosystem, Lending/Borrowing Protocols, Governance"
ACT,ACTUSDT,Other,
ADA,ADAUSDT,Other,
ALGO,ALGOUSDT,Other,
ALICE,ALICEUSDT,Other,
APE,APEUSDT,Other,
APT,APTUSDT,Other,
ARB,ARBUSDT,Other,
ARPA,ARPAUSDT,Other,
AR,ARUSDT,Other,
ASTER,ASTERUSDT,Other,
ATOM,ATOMUSDT,Other,
AVAX,AVAXUSDT,Other,
AVNT,AVNTUSDT,Other,
AXS,AXSUSDT,Other,
BAND,BANDUSDT,Other,
BCH,BCHUSDT,Other,
BEL,BELUSDT,Other,
BIGTIME,BIGTIMEUSDT,Other,
BLUR,BLURUSDT,Other,
BLZ,BLZUSDT,Other,
BNB,BNBUSDT,Other,
BOME,BOMEUSDT,Other,
BTC,BTCUSDT,Other,
CELR,CELRUSDT,Other,
CFX,CFXUSDT,Other,
CHR,CHRUSDT,Decentralized Exchange (DEX),"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Arbitrum Ecosystem"
CHZ,CHZUSDT,Smart Contract Platform,"Smart Contract Platform, Sports, NFT, Solana Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Base Ecosystem, Alleged SEC Securities, Chiliz Ecosystem, Coinbase 50 Index"
COAI,COAIUSDT,Artificial Intelligence (AI),"Artificial Intelligence (AI), BNB Chain Ecosystem, AI Applications, Binance Alpha Spotlight, AI Framework"
COMP,COMPUSDT,Other,
COTI,COTIUSDT,Other,
CRV,CRVUSDT,Other,
DASH,DASHUSDT,Other,
DOGE,DOGEUSDT,Other,
DOT,DOTUSDT,Other,
DUSK,DUSKUSDT,Other,
DYDX,DYDXUSDT,Other,
EGLD,EGLDUSDT,Other,
ENA,ENAUSDT,Other,
ENJ,ENJUSDT,Other,
ENS,ENSUSDT,Other,
ETC,ETCUSDT,Other,
ETHFI,ETHFIUSDT,Other,
ETH,ETHUSDT,Other,
FARTCOIN,FARTCOINUSDT,Other,
